Software,Owner,Revenue (Est),What it's for,Notes,Link,Replacement Ease (1=Hard 5=Easy),Stagnation/Dislike (1=Fresh 5=Ancient),Easy x valuable,x revenue opp
Proclaim,Access Group (Acquired / Eclipse),35,Personal Injury & Civil Case Management,"The programmable workhorse of high-volume law. Users script their own workflows in a proprietary language. Incredibly ugly, but automates document production like nothing else.",https://www.theaccessgroup.com/en-gb/legal/proclaim-case-management-software/,1,4,4,140
Liquidlogic,System C,40,Social Care Case Management (Childrens & Adults),"The twin titan to Idox, but for social services. It holds the ""case"" of a vulnerable child. Massive statutory reporting requirements make it immovable from Councils.",https://www.systemc.com/social-care/,1,3,3,120
Reapit,Reapit (Accel-KKR),55,Estate Agency Sales & Lettings,"The ""Salesforce"" of UK property. It connects the front office (sales) with the back office (compliance). Acquisitive and dominating, but users feel trapped by the ecosystem.",https://www.reapit.com/,2,3,6,330
MRI Qube,MRI Software,25,Commercial & Residential Property Management,"Direct rival to Tramps. Used by big London managing agents. It is an accounting engine wrapped in a property database. Migrations take years.",https://www.mrisoftware.com/uk/,1,4,4,100
CareDocs,CareDocs,6,Care Home Management,"Legacy desktop software for nursing homes. It replaced paper binders. Very rigid, form-based UI that ensures care homes pass CQC inspections.",https://www.caredocs.co.uk/,3,5,15,90
Joblogic,Joblogic (Axiom Equity),15,Field Service Management,"Manages the ""case"" of a boiler repair or electrical install. Birmingham-based success story. Replaces whiteboards in trade offices.",https://www.joblogic.com/,3,2,6,90
iSAMS,Iris (Acquired),18,Private School MIS,"The premium version of Bromcom/SIMS. strictly for fee-paying schools. Handles the ""case"" of a pupil, plus billing parents for fees. Very specific academic logic.",https://www.isams.com/,2,3,6,108
RDB ProNet,Access Group (Acquired),10,Recruitment CRM,"The desktop-heavy standard for recruitment agencies before the cloud took over. Now hosted, but retains a very ""grey"" data-dense interface loved by power users.",https://www.theaccessgroup.com/en-gb/recruitment/software/rdb-pronet/,3,4,12,120
Civica Cx Housing,Civica (Blackstone),45,Social Housing Management,"The main rival to SDM/Northgate. It runs the waiting lists and rent accounts for large Housing Associations. A massive, modular beast.",https://www.civica.com/en-gb/,1,3,3,135
TaxCalc,TaxCalc,12,Accountancy Practice Management,"The ""case"" is a client's tax return. Loved by small high-street accountants. It validates data against HMRC rules. Very sticky because it holds historical tax data.",https://www.taxcalc.com/,2,3,6,72
Hoowla,Hoowla,3,Conveyancing Case Management,"The cloud challenger to Redbrick/Osprey. Focuses purely on moving a house sale through the legal chain. Heavy integration with Land Registry search providers.",https://www.hoowla.com/,4,2,8,24
Dentally,Henry Schein (Acquired),10,Cloud Dental Practice Management,"The modern web-based killer of Exact. It manages the clinical chart and the appointment book. Gaining ground, but Exact's NHS pipework keeps it in check.",https://www.dentally.com/,3,2,6,60
TruTac,Microlise (Acquired),8,Tachograph Analysis & Compliance,"Niche transport logic. It analyses driver logs to ensure they haven't driven too many hours (legal compliance). A pure data-crunching engine.",https://www.trutac.co.uk/,3,3,9,72
VetIT,VetIT (Covetrus),5,Veterinary Practice Management,"Web-based PMS for vets. Manages the animal's clinical history and the owner's bill. Integrates with wholesalers for drug ordering.",https://vetit.co.uk/,3,3,9,45
Donorfy,Donorfy,7,Charity CRM,"The modern challenger to Harlequin. Built for UK Gift Aid rules. It manages the ""case"" of a donor relationship. Much fresher UI than the legacy players.",https://donorfy.com/,4,2,8,56
WriteUpp,WriteUpp,3.5,Allied Health Practice Management,"Used by physios, psychotherapists, and speech therapists. It manages patient notes and GDPR consent. Very modular, simple ""clinical"" workflow.",https://www.writeupp.com/,5,2,10,35
Arthur,Awaab (acquired by MRI),6,Lettings & Property Management,"Originally a Xero add-on for landlords. It manages the workflow of tenancies and repairs. Recently bought by MRI to capture the SME market.",https://www.arthuronline.co.uk/,4,2,8,48
Nourish,Nourish Care,10,Digital Care Planning,"Mobile-first system for care workers to tap icons when they deliver care. Replaces the ""Daily Log"" at the end of a bed. High volume data capture.",https://nourishcare.co.uk/,4,2,8,80
Inform Direct,Inform Direct,5,Company Secretarial Case Management,"Manages the ""case"" of a limited company. Connects to Companies House to file confirmation statements. Niche, but essential for accountants.",https://www.informdirect.co.uk/,4,2,8,40
Commusoft,Commusoft,8,Field Service & Job Management,"Focuses heavily on the plumbing/heating trade. Handles the complex workflow of gas safety certificates. Replaces the diary and the invoice pad.",https://www.commusoft.co.uk/,4,2,8,64
