Software,Owner,Revenue (Est),What it's for,Notes,Link,Replacement Ease (1=Hard 5=Easy),Stagnation/Dislike (1=Fresh 5=Ancient),Easy x valuable,x revenue opp
IRIS Accountancy Suite,IRIS Software Group (Leonard Green / ICG),150,Accountancy Practice Compliance,"The absolute hegemon of UK tax filing. It manages the ""case"" of a client's accounts production. Desktop-heavy, incredibly expensive, and hated for its price hikes, but holds the tax logic that practitioners fear to leave.",https://www.iris.co.uk/,2,5,10,1500
Keyloop,Francisco Partners,115,Automotive Dealer Management (DMS),"The ""SAP"" of car dealerships. It manages the ""case"" of a vehicle from sales to service history. Formerly CDK International. Deeply integrated into the parts supply chain, making it nearly impossible to rip out.",https://keyloop.com/,1,4,4,460
EMIS Web,UnitedHealth (Optum),100,GP Patient Records,"The operating system for 58% of UK GPs. It holds the ""case"" of a patient's entire medical history. Clinical safety rules make this the highest barrier-to-entry market in the UK.",https://www.emishealth.com/,1,4,4,400
SystmOne,TPP (Frank Hester),80,GP & Community Health Records,"The idiosyncratic rival to EMIS. Used by GPs and community hospitals. Famous for its ""one database"" architecture. The interface is utilitarian and dates back to the early 2000s.",https://tpp-uk.com/,1,4,4,320
NEC Housing,NEC Software Solutions,60,Social Housing Management,"The other half of the duopoly with Civica. Formerly Northgate Public Services. Manages council house waiting lists and benefits. It is the definition of ""too big to fail"" legacy infrastructure.",https://www.necsws.com/,1,5,5,300
Yardi Voyager,Yardi Systems,45,Commercial Property Investment,"The global standard for real estate investment trusts (REITs). It manages the ""case"" of a commercial lease and the asset valuation. Incredibly complex accounting logic for multi-currency funds.",https://www.yardi.co.uk/,1,3,3,135
Pinewood DMS,Pinewood Technologies (Listed),40,Automotive Dealer Management,"The Microsoft-based challenger to Keyloop. Gaining ground because it integrates better with modern tech stacks, but still a heavy ERP for car dealers. Recently spun out of Pendragon.",https://pinewood.co.uk/,2,3,6,240
LEAP,LEAP Legal Software,34,SME Legal Case Management,"Aggressive Australian entrant that conquered the high street. Replaces server-based legacy systems. It forces firms to use its specific way of working. Very ""sticky"" due to content libraries.",https://www.leap.co.uk/,3,2,6,204
Mosaic,Access Group (Acquired / Servelec),30,Social Care Case Management,"The direct rival to Liquidlogic. Used by Councils to manage child protection cases. Recently acquired by Access Group to bolster their health/gov division. Statutory reporting is the moat.",https://www.theaccessgroup.com/,1,3,3,90
BigChange,Great Hill Partners,30,Field Service & Transport,"""JobWatch"" system for companies with vans. It manages the ""case"" of a job from quote to invoice.[1] Replaces paper diaries. Very growth-focused and tablet-first.",https://www.bigchange.com/,3,2,6,180
Goodlord,Goodlord (VC),30,Tenancy Progression,"Manages the ""case"" of a new tenant moving in (referencing, contracts, payments). It sits between the estate agent and the tenant. Replaces the fragmented email chain of signing a lease.",https://www.goodlord.co/,4,2,8,240
Eque2,WestBridge,25,Construction Contracting,"ERP for building firms. Manages the ""case"" of a construction project (job costing, CIS tax deduction). Deep integration with Sage accounts makes it the default for mid-sized builders.",https://www.eque2.co.uk/,2,3,6,150
Alto,Zoopla (Silver Lake),20,Estate Agency CRM,"Zoopla's cloud answer to the legacy ""Vebra"" systems. It manages the ""case"" of a property sale. Being cloud-native is its selling point, but migration from desktop systems is slow.",https://www.alto.co.uk/,3,3,9,180
Arbor,The Key (CBPE),15,School MIS,"The cloud-native disruption to SIMS. Manages student attendance and behavior. Growing rapidly because it offers data insights that legacy systems can't match.",https://arbor-education.com/,2,1,2,30
Clio,Clio (US VC),15,Legal Case Management,"The US giant pushing into the UK. Focuses on the ""case"" workflow for smaller firms. Very polished UI compared to UK legacy players, but struggles with niche UK legal aid rules.",https://www.clio.com/uk/,3,2,6,90
Acuitas,Ocuco,12,Opticians Practice Management,"The global rival to Optix. Used by large chains (like Specsavers) and independents. Manages the clinical eye test and the retail sale of frames. High barrier due to medical device integration.",https://www.ocuco.com/,2,3,6,72
Fixflo,Aareon,10,Property Repairs Management,"Focuses purely on the ""case"" of a broken boiler. Tenants report issues via pictures. It integrates with the big property CRMs (Reapit/Alto) rather than replacing them.",https://www.fixflo.com/,4,2,8,80
Vincere,Access Group (Acquired),10,Recruitment OS,"The ""Operating System"" for recruitment. It handles the ""case"" of a candidate placement. Feature-dense and complex, recently swallowed by the Access Group aggregator.",https://www.vincere.io/,3,2,6,60
Peppermint,Litera,10,Legal CRM & Case Management,"Built on top of Microsoft Dynamics. Used by larger law firms who want an enterprise-grade platform. It handles the ""case"" within the familiar Microsoft ecosystem.",https://pepperminttechnology.co.uk/,2,3,6,60
Firefish,Firefish Software,8,Recruitment CRM,"Glasgow-based challenger. Focuses on the ""marketing"" side of the candidate case. Replaces the ""black book"" with a searchable talent pool. Cult following in SME agencies.",https://firefishsoftware.com/,4,2,8,64
